vehicle,vehicleType,weapon,role,class,asset,projectile,profile,override,rpm,rpmPractical,mv,dmgMax,penMM,mag,mags,reload,moa,power,ceiling,sway,curve,impactPower,innerR,outerR,radialCeiling,expBase,expInner,expOuter,expKill,impactDmg,variants
TAPV,Jeep,C6A1 CROWS,Coax / MG (7.62),coax,TAPV/Weapons/BP_TAPV_CROWS_C6,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,857,857,853,,7,750,1,30.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
LPPV,Jeep,L7A2,Coax / MG (7.62),coax,LPPV/Weapons/BP_GPMG,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
MATV,Jeep,M240B CROWS,Coax / MG (7.62),coax,MATV/Turrets/BP_CROWS_M240,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,750,1,30.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
Cobra_II,Jeep,MG3,Coax / MG (7.62),coax,Cobra_II/Weapons/Cobra_II_OpenTop/BP_Cobra_II_OpenTurret_MG3_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,1101,1101,820,,7,120,6,7.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
PMV,Jeep,Mag58,Coax / MG (7.62),coax,PMV/Turrets/BP_PMV_Mag58_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
BRDM-2,Jeep,PKT Coaxial Machine Gun,Coax / MG (7.62),coax,BRDM-2/Attachments/BP_BRDM2_PKT_Insurgents,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,250,5,10.5,10.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,10
CSK131,Jeep,QJY88,Coax / MG (7.62),coax,CSK131/Weapons/BP_QJY88_CSK131_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,652,652,853,,7,200,5,9.5,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
Cobra_II,Jeep,RWS MG3,Coax / MG (7.62),coax,Cobra_II/Weapons/Cobra_II_RWS/BP_CobraRWS_MG3,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,1101,1101,820,,7,750,1,7.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
LUVW,JeepTransport,C6A1 FLEX,Coax / MG (7.62),coax,LUVW/Weapons/BP_C6_LUVW,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,220,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
Shared_Vehicle_Weapons,,Generic Coaxial Machine Gun,Coax / MG (7.62),coax,Shared_Vehicle_Weapons/BP_CoaxialMachinegun,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,250,5,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
EnforcerRWS,,L37A2 RWS,Coax / MG (7.62),coax,EnforcerRWS/BP_EnforcerRWS_L37A2,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,750,1,30.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,4
Technical2Seater,,PKT Coaxial Machine Gun,Coax / MG (7.62),coax,Technical2Seater/Weapons/BP_Technical_BMP1_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,855,,7,250,4,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
Leopard2,Tank,C6A1 FLEX,Coax / MG (7.62),coax,Leopard2/Weapons/BP_2A6_C6_Loaders_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,500,1,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
FV4034,Tank,L94A1 Coaxial Machine Gun,Coax / MG (7.62),coax,FV4034/Weapons/BP_L94A1_coax,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,500,500,853,,7,2000,1,10.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
Leopard2,Tank,M240 Coaxial Machine Gun,Coax / MG (7.62),coax,Leopard2/Weapons/BP_L55_coax,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,857,857,853,,7,2000,1,10.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,5
M1A2,Tank,M240B,Coax / MG (7.62),coax,M1A2/Weapons/BP_M240_Loaders_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
M1A1_USMC,Tank,M240G,Coax / MG (7.62),coax,M1A1_USMC/BP_M240G_Turret_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,4
Leopard2,Tank,Mag58,Coax / MG (7.62),coax,Leopard2/Weapons/BP_2A6_Mag58_Loaders_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,500,1,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
AUS_M1A1,Tank,Mag58 Coaxial Machine Gun,Coax / MG (7.62),coax,AUS_M1A1/Weapons/BP_M256A1_coax_ADF,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,857,857,853,,7,2000,1,10.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
Sprut-SDM1,Tank,PKT Coaxial Machine Gun,Coax / MG (7.62),coax,Sprut-SDM1/Weapons/BP_2A45_coax,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,855,,7,2000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,7
Sprut-SDM1,Tank,PKT Remote Weapon Station,Coax / MG (7.62),coax,Sprut-SDM1/Weapons/BP_Sprut_RWS_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,1500,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
ZTZ99,Tank,QTJ-02 5.8mm Coaxial Machine Gun,Coax / MG (7.62),coax,ZTZ99/Weapons/BP_ZPT-98_coax,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,855,,7,3000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
CTM131_Truck,TruckTransport,QJY88,Coax / MG (7.62),coax,CTM131_Truck/Weapons/BP_QJY88_CTM131,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,652,652,853,,7,200,5,9.5,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
AAVP7A1,APCTracked,MK19,Grenade launcher,gl,AAVP7A1/Weapons/BP_AAVP7A1_MK19,BP_40MM_MK19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,351,351,230,370.0,20,32,6,12.5,50.0,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,60.0,2
RHIB,Boat,Mk19 Grenade Machine Gun,Grenade launcher,gl,RHIB/Weapons/BP_Mk19_RHIB_Weapon,BP_40MM_MK19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,351,351,230,370.0,20,32,10,9.399999618530273,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,60.0,1
AGS-17 Plamya Automatic Grenade Launcher,Emplacement,AGS-17 Plamya Automatic Grenade Launcher,Grenade launcher,gl,Emplaced_AGS-17/BP_AGS-17_Weapon,BP_30mm_VOG19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,400,400,185,,11,29,1,8.880000114440918,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,150.0,1800.0,,60.0,2
Emplaced_Mk19,Emplacement,C16 Grenade Machine Gun,Grenade launcher,gl,Emplaced_Mk19/BP_Weapon_C16,BP_40MM_MK19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,351,351,235,370.0,28,32,1,9.399999618530273,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,60.0,1
Emplaced_Mk19,Emplacement,L134A1 Grenade Machine Gun,Grenade launcher,gl,Emplaced_Mk19/BP_Weapon_L134A1,BP_40MM_MK19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,351,351,235,370.0,28,32,1,9.399999618530273,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,60.0,1
Emplaced_Mk19,Emplacement,Mk19 Grenade Machine Gun,Grenade launcher,gl,Emplaced_Mk19/BP_EmplacedMk19_Weapon,BP_40MM_MK19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,351,351,235,370.0,28,32,1,9.399999618530273,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,60.0,2
Emplaced_Mk19,Emplacement,Mk19 Grenade Machine Gun,Grenade launcher,gl,Emplaced_Mk19/BP_Mk19_OpenTurret_Weapon,BP_40MM_MK19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,351,351,230,370.0,20,32,10,9.399999618530273,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,60.0,1
Emplaced_QLZ87,Emplacement,QLZ-87 Automatic Grenade Launcher - HEDP,Grenade launcher,gl,Emplaced_QLZ87/BP_QLZ87_Weapon,BP_35MM_Proj_QLZ87_HEDP,Explosion_Suppression_GrenadeLauncher_NoPassby,False,480,480,190,370.0,80,15,1,5.349999904632568,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,1100.0,,60.0,1
BTR4,IFV,GPD-30 Fragmentation,Grenade launcher,gl,BTR4/Weapons/BP_BTR4_KBA117,BP_AGS30_40MM_VOG_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,400,400,190,,,29,4,10.5,15.0,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,10.0,1
WZ551,IFV,QLZ-87 Automatic Grenade Launcher - HEDP,Grenade launcher,gl,WZ551/Turrets/QLZ87/BP_QLZ87_Weapon_WZ551,BP_35MM_Proj_QLZ87_HEDP,Explosion_Suppression_GrenadeLauncher_NoPassby,False,480,480,190,370.0,80,15,15,5.570000171661377,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,1100.0,,60.0,2
BMP-2M,IFVTracked,GPD-30 Fragmentation,Grenade launcher,gl,BMP-2M/Weapons/Desert/BP_BMP2M_AGS30_Desert,BP_AGS30_40MM_VOG_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,400,400,190,,,120,1,10.5,15.0,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,10.0,3
Kozak_2M1_AFU,Jeep,AGS-17 Plamya,Grenade launcher,gl,Kozak_2M1_AFU/Turrets/BP_AGS-17_OpenTurret_Weapon,BP_30mm_VOG19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,400,400,185,,11,29,10,8.880000114440918,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,150.0,1800.0,,60.0,4
M1117,Jeep,MK19,Grenade launcher,gl,M1117/Weapons/BP_M1117_MK19,BP_40MM_MK19_Proj,Explosion_Suppression_GrenadeLauncher_NoPassby,False,351,351,230,370.0,20,48,6,12.5,50.0,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,,,60.0,1
CSK131,Jeep,QLZ-87 Automatic Grenade Launcher - HEDP,Grenade launcher,gl,CSK131/Weapons/BP_QLZ87_OpenTurret_Weapon,BP_35MM_Proj_QLZ87_HEDP,Explosion_Suppression_GrenadeLauncher_NoPassby,False,480,480,190,370.0,80,15,15,5.570000171661377,1.5,0.0,0.0,,,4.0,400.0,2000.0,4.0,,100.0,1100.0,,60.0,2
BTR80,APC,KPVT BZT Armor-Piercing Incendiary,HMG (.50 / 14.5),hmg,BTR80/Attachments/BP_BTR80_INS_KPVT,BP_Projectile_14_5mm,Projectile_Suppression_20mm_AP,False,600,600,1004,,40,50,9,10.5,2.299999952316284,0.699999988079071,2.0,5.0,,,,,,,,,,,4
LAV_RWS,APC,M2A1 Browning CROWS,HMG (.50 / 14.5),hmg,LAV_RWS/Weapons/BP_CROWS_M2_Nanuk,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,400,1,30.0,1.5,0.5,2.0,5.0,,,,,,,,,,,4
BTR-D,APCTracked,Kord,HMG (.50 / 14.5),hmg,BTR-D/Weapons/Kord_OpenTop/BP_Kord_BTR-D,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,28,100,10,7.9670000076293945,1.5,0.5,2.0,5.0,,,,,,,,,,,1
FV432,APCTracked,L11A1,HMG (.50 / 14.5),hmg,FV432/Turrets/BP_M2a1Browning_FV432,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,10,10.40999984741211,1.5,0.5,2.0,5.0,,,,,,,,,,,2
AAVP7A1,APCTracked,M2A1 Browning,HMG (.50 / 14.5),hmg,AAVP7A1/Weapons/BP_AAVP7A1_M2,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,5,12.5,1.5,0.5,2.0,5.0,,,,,,,,,,,4
RHIB,Boat,Dshk,HMG (.50 / 14.5),hmg,RHIB/Weapons/BP_DShK_RHIB_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,600,600,850,,28,100,10,8.0,1.5,0.5,2.0,5.0,,,,,,,,,,,1
RHIB,Boat,Kord,HMG (.50 / 14.5),hmg,RHIB/Weapons/BP_NSV_RHIB_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,28,100,10,7.9670000076293945,1.5,0.5,2.0,5.0,,,,,,,,,,,1
RHIB,Boat,M2A1 Browning,HMG (.50 / 14.5),hmg,RHIB/Weapons/BP_M2_RHIB_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,10,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
RHIB,Boat,M2HB Browning,HMG (.50 / 14.5),hmg,RHIB/Weapons/BP_M2HB_RHIB_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,10,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
RHIB,Boat,QJZ-89,HMG (.50 / 14.5),hmg,RHIB/Weapons/BP_QJZ-89_RHIB_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,600,600,850,,28,100,10,9.833000183105469,1.5,0.5,2.0,5.0,,,,,,,,,,,1
DShK,Emplacement,DShK,HMG (.50 / 14.5),hmg,Emplaced_Dshk/BP_EmplacedDshk,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,850,,28,100,1,7.900000095367432,1.5,0.5,2.0,5.0,,,,,,,,,,,2
M2A1 Browning,Emplacement,Dshk,HMG (.50 / 14.5),hmg,M1151/Weapons/BP_M1151_Technical_DShK_Shield,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,850,,28,100,10,8.0,1.5,0.5,2.0,5.0,,,,,,,,,,,1
Emplaced50cal,Emplacement,L11A1 + SUSAT,HMG (.50 / 14.5),hmg,Emplaced50cal/BP_EmplacedM2_Weapon_SUSAT,BP_Projectile_50cal_ACOG,Projectile_SuppressionHMG,False,500,500,890,,28,100,1,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
Emplaced50cal,Emplacement,M2A1 Browning,HMG (.50 / 14.5),hmg,Emplaced50cal/BP_EmplacedM2_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,1,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,11
Emplaced50cal,Emplacement,M2A1 Browning + M150,HMG (.50 / 14.5),hmg,Emplaced50cal/BP_EmplacedM2_Weapon_ACOG,BP_Projectile_50cal_ACOG,Projectile_SuppressionHMG,False,500,500,890,,28,100,1,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
Emplaced50cal,Emplacement,M2HB Browning,HMG (.50 / 14.5),hmg,Emplaced50cal/BP_EmplacedM2HB_Weapon_Ironsight,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,1,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
NSV,Emplacement,NSV,HMG (.50 / 14.5),hmg,Emplaced_Kord/BP_EmplacedKord,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,28,100,1,8.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
NSV,Emplacement,NSV,HMG (.50 / 14.5),hmg,Emplaced_Kord/BP_EmplacedKord_SPP,BP_Projectile_50cal_ACOG,Projectile_SuppressionHMG,False,706,706,860,,28,100,1,8.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
QJZ-89,Emplacement,QJZ-89,HMG (.50 / 14.5),hmg,Emplaced_QJZ-89/BP_EmplacedQJZ-89,BP_Projectile_50cal,Projectile_SuppressionHMG,False,652,652,850,,28,100,1,9.833000183105469,1.5,0.5,2.0,5.0,,,,,,,,,,,2
Emplaced50cal,Emplacement,Shielded M2A1 Browning,HMG (.50 / 14.5),hmg,Emplaced50cal/BP_EmplacedM2HB_Shield_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,1,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
UH1Y,Helicopter,GAU-21,HMG (.50 / 14.5),hmg,UH1Y/Weapons/GAU21/BP_GAU21_DoorGun,BP_Projectile_50cal,Projectile_SuppressionHMG,False,1000,1000,890,,28,600,1,10.5,130.0,0.5,2.0,5.0,,,,,,,,,,,1
MRH90,Helicopter,M2HB,HMG (.50 / 14.5),hmg,MRH90/Weapons/BP_M2_DoorGun,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,350,1,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
ACV-15,IFVTracked,M2A1 Browning,HMG (.50 / 14.5),hmg,ACV-15/Weapons/BP_ACV15_OpenTurret_M2_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,10,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
ZSD89,IFVTracked,QJZ-89,HMG (.50 / 14.5),hmg,ZSD89/Turrets/BP_ZSD_QJZ89,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,850,,28,150,10,5.900000095367432,1.5,0.5,2.0,5.0,,,,,,,,,,,3
Tigr,Jeep,Arbalet Kord,HMG (.50 / 14.5),hmg,Tigr/Weapons/BP_Arbalet_Kord,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,40,450,1,20.0,1.5,0.5,2.0,5.0,,,,,,,,,,,2
BRDM-2,Jeep,KPVT BZT Armor-Piercing Incendiary,HMG (.50 / 14.5),hmg,BRDM-2/Attachments/BP_BRDM2_KPVT_Insurgents,BP_Projectile_14_5mm,Projectile_Suppression_20mm_AP,False,600,600,1004,,40,50,9,10.5,2.299999952316284,0.699999988079071,2.0,5.0,,,,,,,,,,,10
Kozak_2M1_AFU,Jeep,Kord,HMG (.50 / 14.5),hmg,Kozak_2M1_AFU/Weapons/Kord/BP_Kord_Kozak,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,28,100,10,7.9670000076293945,1.5,0.5,2.0,5.0,,,,,,,,,,,2
Cobra_II,Jeep,M2A1 Browning,HMG (.50 / 14.5),hmg,Cobra_II/Weapons/Cobra_II_OpenTop/BP_Cobra_II_OpenTurret_M2_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,10,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,3
MATV,Jeep,M2A1 Browning CROWS,HMG (.50 / 14.5),hmg,MATV/Turrets/BP_CROWS_M2,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,400,1,30.0,1.5,0.5,2.0,5.0,,,,,,,,,,,5
PMV,Jeep,M2A1 Browning PWS,HMG (.50 / 14.5),hmg,PMV/Turrets/PWS/BP_PMV_RWS_M2,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,400,1,30.0,1.5,0.5,2.0,5.0,,,,,,,,,,,1
Safir,Jeep,NSV,HMG (.50 / 14.5),hmg,Safir/Weapons/BP_Kord_Safir_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,28,100,10,10.666999816894531,1.5,0.5,2.0,5.0,,,,,,,,,,,1
CSK131,Jeep,QJZ89,HMG (.50 / 14.5),hmg,CSK131/Weapons/BP_QJZ89_CSK131,BP_Projectile_50cal,Projectile_SuppressionHMG,False,652,652,850,,28,100,10,9.833000183105469,1.5,0.5,2.0,5.0,,,,,,,,,,,2
Cobra_II,Jeep,RWS M2HB,HMG (.50 / 14.5),hmg,Cobra_II/Weapons/Cobra_II_RWS/BP_CobraRWS_M2,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,400,1,30.0,1.5,0.5,2.0,5.0,,,,,,,,,,,2
Technical,JeepAntiTank,Dshk,HMG (.50 / 14.5),hmg,Technical/Weapons/BP_DShK_Technical,BP_Projectile_50cal,Projectile_SuppressionHMG,False,600,600,850,,28,100,10,8.0,1.5,0.5,2.0,5.0,,,,,,,,,,,1
Technical,JeepAntiTank,Dshk,HMG (.50 / 14.5),hmg,Technical/Weapons/BP_DShK_Technical_Shield,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,850,,28,100,10,8.0,1.5,0.5,2.0,5.0,,,,,,,,,,,1
Technical,JeepAntiTank,M2A1 Browning,HMG (.50 / 14.5),hmg,Technical/Weapons/BP_M2_Technical,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,10,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,1
LUVW,JeepTransport,M2A1 Browning,HMG (.50 / 14.5),hmg,LUVW/Weapons/BP_50Cal_LUVW,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,10,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,2
EnforcerRWS,,L11A1 CROWS,HMG (.50 / 14.5),hmg,EnforcerRWS/BP_EnforcerRWS_M2,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,400,1,30.0,1.5,0.5,2.0,5.0,,,,,,,,,,,4
QJZ_89_RWS,,QJC-88 RWS,HMG (.50 / 14.5),hmg,QJZ_89_RWS/BP_QJZ89_RWS,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,850,,28,450,1,20.0,1.5,0.5,2.0,5.0,,,,,,,,,,,3
T62,Tank,DshK,HMG (.50 / 14.5),hmg,T62/Weapons/BP_Cupola_Dshk,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,850,,28,100,6,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,2
M1128_MGS,Tank,M2A1 Browning,HMG (.50 / 14.5),hmg,M1128_MGS/Weapons/BP_50Cal_M1128,BP_Projectile_50cal,Projectile_SuppressionHMG,True,500,500,890,,28,100,10,10.5,1.5,0.5,2.0,5.0,,,,,,,,,,,6
AUS_M1A1,Tank,M2A1 Browning CWS,HMG (.50 / 14.5),hmg,AUS_M1A1/Weapons/BP_M1A1_FLEX_M2,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,100,,30.0,1.5,0.5,2.0,5.0,,,,,,,,,,,1
M60T,Tank,M85 HMG,HMG (.50 / 14.5),hmg,M60T/Weapons/BP_M60T_M85,BP_Projectile_50cal,Projectile_SuppressionHMG,False,500,500,890,,28,400,1,30.0,1.5,0.5,2.0,5.0,,,,,,,,,,,3
T64_BM2,Tank,NSVT,HMG (.50 / 14.5),hmg,T64_BM2/Weapons/BP_Kord_Cupola_Weapon_T64BM2,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,40,150,2,20.0,1.5,0.5,2.0,5.0,,,,,,,,,,,7
ZTZ99,Tank,QJC-88,HMG (.50 / 14.5),hmg,ZTZ99/Weapons/BP_W85_Cupola_Weapon,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,860,,40,150,2,20.0,1.5,0.5,2.0,5.0,,,,,,,,,,,1
CTM131_Truck,TruckTransport,QJZ89,HMG (.50 / 14.5),hmg,CTM131_Truck/Weapons/BP_QJZ89_CTM131,BP_Projectile_50cal,Projectile_SuppressionHMG,False,706,706,850,,28,100,10,9.833000183105469,1.5,0.5,2.0,5.0,,,,,,,,,,,1
Loach_CAS_WPMC,Helicopter,GAU-17/A Minigun,Minigun,minigun,Loach_CAS_WPMC/Weapons/BP_M134_Loach_Dual,BP_Projectile_Red_762mm_Minigun,Explosion_Suppression_CAS_Minigun,False,353,353,853,,16,200,1,10.5,155.0,2.0,3.0,,,3.0,1500.0,2000.0,3.0,150.0,75.0,300.0,,,2
UH1Y,Helicopter,GAU-17/A Minigun,Minigun,minigun,UH1Y/Weapons/M134/BP_M134_DoorGun,BP_Projectile_7_62mm,Projectile_SuppressionHMG,True,1667,1667,853,,16,1500,1,10.5,155.0,0.5,2.0,5.0,,,,,,,,,,,2
CPV,Jeep,M134 Minigun,Minigun,minigun,CPV/Weapons/BP_M134_Weapon_CPV,BP_Projectile_Red_762mm,Projectile_SuppressionHMG,True,1667,1667,853,,13,800,1,10.5,40.0,0.5,2.0,5.0,,,,,,,,,,,1
Technical2Seater,,GAU-17/A Minigun,Minigun,minigun,Technical2Seater/Weapons/BP_M134_Weapon,BP_Projectile_Red_762mm,Projectile_SuppressionHMG,True,1667,1667,853,,13,1500,1,10.5,40.0,0.5,2.0,5.0,,,,,,,,,,,1
M1064A3,APCTracked,M934A1 120mm High Explosive Impact,Mortar / barrage,mortar,M1064A3/Weapons/BP_M1064A3_M121mortar,BP_Mortarround_120mm,Explosion_Suppression_120mm_Barrage_NoPassby,False,16,16,142,,0,30,1,4.0,40.0,0.0,2.0,,,5.0,2000.0,7500.0,6.0,400.0,0.0,4000.0,,10.0,1
M1064A3,APCTracked,M934A1 120mm High Explosive Near-Surface,Mortar / barrage,mortar,M1064A3/Weapons/BP_M1064A3_M121mortar_Airburst,BP_Mortarround_120mm_Airburst,Explosion_Suppression_120mm_Barrage_NoPassby,False,16,16,142,,0,15,1,4.0,50.0,0.0,2.0,,,5.0,2000.0,7500.0,6.0,0.0,0.0,2000.0,,0.0,1
Blessed Propane Tank,Emplacement,Blessed Propane Tank,Mortar / barrage,mortar,Emplaced_HellCannon/BP_Emplaced_HellCannon,BP_Projectile_Hell_Cannon,Explosion_Suppression_155mm_Frag_NoPassby,False,600,4,95,,0,1,1,14.899999618530273,100.0,0.0,2.0,,,4.5,2500.0,7500.0,,125.0,100.0,5000.0,,100.0,1
Emplaced_81mmMortar_CAF,Emplacement,C70A2 81mm High Explosive,Mortar / barrage,mortar,Emplaced_81mmMortar_CAF/BP_81mmMortar,BP_Mortarround4,Explosion_Suppression_90mm_Mortar_NoPassby,False,34,34,110,,,3,1,3.0,50.0,0.0,2.0,,,4.5,1500.0,4500.0,5.0,350.0,0.0,4000.0,,10.0,1
