weapon,category,fire_mode,rate_rpm,cyclic_rpm,bolt_cycle_s,profile,profile_from_override,projectile,asset,envelope_m,power_1m,power_2m,power_3m,power_4m,ceiling,sway_add,rounds_to_cap_1m,per_second_1m,muzzle_ms,moa,mag,pen_mm,variants,icon_asset
M2 Carl Gustav (FFV441D HE),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_FFV441D_Rocket_Proj,RocketLaunchers/BP_CarlGustavM2_FFV441D_No78Mk1,,,,,,2.0,,,,255,7.0,1,9,2,carlgustavm2+no78mk1
M2 Carl Gustav (FFV551 HEAT),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_FFV551_Rocket_Proj2,RocketLaunchers/BP_CarlGustavM2_FFV551_No78Mk1,,,,,,2.0,,,,310,7.0,1,400,2,carlgustavm2+no78mk1
M2 Carl Gustav (FFV751 Tandem),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_FFV751_Tandem_Heat_Proj2,RocketLaunchers/BP_CarlGustavM2_FFV751_No78Mk1,,,,,,2.0,,,,255,7.0,1,400,2,carlgustavm2+no78mk1
M203,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/M4M203_UGL/BP_M4M203_UGL_Parent,,,,,,,,,,76,30.0,1,10,11,m203_gl
M203 HE,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/M16A2M203_UGL/BP_M16A2M203_Optic_UGL_HE,,,,,,,,,,76,30.0,1,10,3,m203_gl
M203 High Explosive,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/M4M203_UGL/BP_M4M203_UGL_HE,,,,,,,,,,76,30.0,1,20,7,m203_gl
M203 High Explosive Dual Purpose,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/M4M203_UGL/BP_M4M203_M68_UGL_HE,,,,,,,,,,76,30.0,1,20,5,m203_gl
M203A1 High Explosive,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/C8A3_M203_UGL/BP_C8A3_M203_ET_UGL_HE,,,,,,,,,,76,35.0,1,20,2,m203_gl
M203A1 High Explosive Dual Purpose,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/C7A2_M203A1_UGL/BP_C7A2_M203A1_ET_UGL_HE,,,,,,,,,,76,35.0,1,20,2,m203_gl
M3 MAAWS,Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Heat_Proj2,RocketLaunchers/M3MAAWS/BP_M3MAAWS_Parent,,,,,,2.0,,,,63,7.0,1,400,1,m3maaws_heat
M3 MAAWS (FFV469B Smoke),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Smoke_Proj2,RocketLaunchers/M3MAAWS/BP_M3MAAWS_Smoke_2mags,,,,,,2.0,,,,63,7.0,1,,1,m3maaws_smoke
M3 MAAWS (FFV551 HEAT),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Heat_Proj2,RocketLaunchers/M3MAAWS/BP_M3MAAWS_Heat,,,,,,2.0,,,,63,7.0,1,420,2,m3maaws_heat
M3 MAAWS (FFV751 Tandem),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Tandem_Heat_Proj2,RocketLaunchers/M3MAAWS/BP_M3MAAWS_Tandem,,,,,,2.0,,,,63,7.0,1,900,1,m3maaws_tandem
M3 MAAWS Smoke,Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Smoke_Proj2,RocketLaunchers/M3MAAWS/BP_M3MAAWS_Smoke,,,,,,2.0,,,,63,7.0,1,,1,m3maaws_smoke
M3 MDFSW  (FFV469B Smoke),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Smoke_Proj2,RocketLaunchers/M3MAAWS/BP_M3MDFSW_Smoke_2mags,,,,,,2.0,,,,63,7.0,1,,1,m3maaws_smoke
M3 MDFSW (FFV551 HEAT),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Heat_Proj2,RocketLaunchers/M3MAAWS/BP_M3MDFSW_Heat,,,,,,2.0,,,,63,7.0,1,420,1,m3maaws_heat
M3 MDFSW (FFV751 Tandem),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_M3MAAWS_Tandem_Heat_Proj2,RocketLaunchers/M3MAAWS/BP_M3MDFSW_Tandem,,,,,,2.0,,,,63,7.0,1,900,1,m3maaws_tandem
M320 GLM HEDP,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/M320/BP_M320_Parent,,,,,,,,,,76,30.0,1,20,2,T_m320_he
M320 High Explosive,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/M320/BP_M320_HE,,,,,,,,,,76,30.0,1,20,1,T_m320_he
M72 SRAAW,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_M72A6_Rocket_Proj,RocketLaunchers/BP_M72A7_SRAAW,,,,,,2.0,,,,144,15.0,1,320,1,m72law
M72A5-C1,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_M72A5_Rocket_Proj,RocketLaunchers/BP_M72A7_M72A5,,,,,,2.0,,,,144,15.0,1,320,2,m72law
M72A7 LAW,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_M72A7_Rocket_Proj2,RocketLaunchers/BP_M72A7,,,,,,2.0,,,,144,15.0,1,320,2,m72law
Mk 153 SMAW (Mk 3 HEDM),Explosive,semi,900,900,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_SMAW_Heat_Proj2,RocketLaunchers/SMAW/BP_SMAW_HEAT,,,,,,2.0,,,,220,7.0,1,400,2,smaw_heat
Mk 153 SMAW (Mk 6 HEAA),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_SMAW_Tandem_Heat_Proj2,RocketLaunchers/SMAW/BP_SMAW_Tandem,,,,,,2.0,,,,220,7.0,1,400,2,smaw_tandem
MK153 SMAW HE Dual Purpose,Explosive,semi,900,900,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_SMAW_Heat_Proj2,RocketLaunchers/SMAW/BP_SMAW_Parent,,,,,,2.0,,,,220,7.0,1,400,1,m3maaws_heat
MKE MGL High Explosive,Explosive,semi,120,120,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/MGL_GL/BP_MGL_HE,,,,,,,,,,75,30.0,6,,1,T_mgl_he
MKE MGL High Explosive Dual Purpose,Explosive,semi,120,120,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/MGL_GL/BP_MGL_Parent,,,,,,,,,,75,30.0,6,5,1,T_mgl_he
NLAW,Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_NLAW_Proj,RocketLaunchers/NLAW/BP_NLAW,,,,,,2.0,,,,40,1.0,1,400,2,nlaw
PF98 (DZP-98 Tandem),Explosive,semi,94,94,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_PF-98_Tandem_Proj,RocketLaunchers/PF-98/BP_PF-98_Tandem,,,,,,2.0,,,,310,7.0,1,900,2,pf98_heat
PF98 (DZY-98 HE),Explosive,semi,94,94,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_PF-98_HE_Proj,RocketLaunchers/PF-98/BP_PF-98_HE,,,,,,2.0,,,,220,7.0,1,400,2,pf98_he
QLG-10 High Explosive,Explosive,semi,652,652,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_VOG_Proj2,GrenadeLaunchers/QBZ-95-1_QLG-10_UGL/BP_QBZ95-1_QLG-10_UGL_HE,,,,,,,,,,78,40.0,1,,4,qlg10_gl
QLZ-87 AGL High Explosive Dual Purpose,Explosive,auto,492,492,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_35MM_Proj_QLZ87_HEDP,GrenadeLaunchers/QLZ-87/BP_QLZ-87_AGL_Parent,,,,,,,,,,190,20.0,6,80,2,T_QLZ87_HE
QLZ-87 AGL High Explosive Dual Purpose + YMA-87-35,Explosive,auto,492,492,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_35MM_Proj_QLZ87_HEDP,GrenadeLaunchers/QLZ-87/BP_QLZ87_AGL_HEDP_Optic,,,,,,,,,,190,20.0,6,80,1,T_QLZ87_Optic_HE
Rifle Grenade (Fragmentation),Explosive,semi,750,750,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_Projectile_RifleGrenade_FNFAL_Frag,GrenadeLaunchers/FNFAL_GL/BP_FNFAL_GL_Frag,,,,,,2.0,,,,76,30.0,1,20,1,FNFAL_GL_Frag
Rifle Grenade (HEAT),Explosive,semi,750,750,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_Projectile_RifleGrenade_FNFAL_HEAT,GrenadeLaunchers/FNFAL_GL/BP_FNFAL_GL_HEAT,,,,,,2.0,,,,76,30.0,1,320,1,FNFAL_GL_HEAT
RPG-26,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_RPG26_Rocket_Proj2,RocketLaunchers/BP_RPG26,,,,,,2.0,,,,144,15.0,1,320,2,rpg26
RPG-28,Explosive,semi,30,30,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_RPG28_Tandem_Proj,RocketLaunchers/RPG28/BP_RPG28,,,,,,2.0,,,,250,20.0,1,320,2,rpg28
RPG-29 (PG-29V Tandem),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_RPG29_Tandem_Heat_Proj2,RocketLaunchers/BP_RPG29,,,,,,2.0,,,,280,10.0,1,900,2,rpg29
RPG-7,Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Frag_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7_Parent,,,,,,2.0,,,,117,20.0,1,250,4,rpg7
RPG-7 (OG-7V Fragmentation),Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Frag_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7_Frag_2Mag,,,,,,2.0,,,,117,20.0,1,9,3,rpg7frag
RPG-7 (PG-7VL HEAT),Explosive,semi,900,900,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_RPG7_Heat_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7_Heat,,,,,,2.0,,,,117,20.0,1,320,2,rpg7heat
RPG-7 (PG-7VR Tandem),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_RPG7_Tandem_Heat_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7_Tandem,,,,,,2.0,,,,63,20.0,1,900,2,rpg7tandem
RPG-7 Fragmentation,Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Frag_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7_Frag,,,,,,2.0,,,,117,20.0,1,9,1,rpg7frag
RPG-7 Thermobaric,Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Thermo_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7_Thermo,,,,,,2.0,,,,63,20.0,1,12,1,rpg7thermo
RPG-7V1 (OG-7V Fragmentation),Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Frag_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7V1_Frag,,,,,,2.0,,,,117,15.0,1,9,7,rpg7v2frag
RPG-7V1 (PG-7VL HEAT),Explosive,semi,900,900,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_RPG7_Heat_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7V1_Heat,,,,,,2.0,,,,117,15.0,1,320,6,rpg7v2heat
RPG-7V1 (PG-7VR Tandem),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_RPG7_Tandem_Heat_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7V1_Tandem,,,,,,2.0,,,,65,15.0,1,900,5,rpg7v2tandem
RPG-7V1 (TBG-7V Thermobaric),Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Thermo_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7V1_Thermo,,,,,,2.0,,,,63,15.0,1,12,3,rpg7v2thermo
RPG-7V2,Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Frag_Proj2,RocketLaunchers/RPG7/RPG7/BP_RPG7V1_Parent,,,,,,2.0,,,,117,15.0,1,250,5,rpg7v2heat
RPG-7v2 (OG-7V Fragmentation),Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Frag_Proj2,RocketLaunchers/RPG7/RPG7V2/BP_RPG7V2_Frag,,,,,,2.0,,,,117,20.0,1,250,3,rpg7frag
RPG-7v2 (PG-7VL HEAT),Explosive,semi,900,900,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_RPG7_Heat_Proj2,RocketLaunchers/RPG7/RPG7V2/BP_RPG7V2_HEAT-PG7VL,,,,,,2.0,,,,117,20.0,1,250,1,rpg7heat
RPG-7V2 (PG-7VR Tandem),Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_RPG7_Tandem_Heat_Proj2,RocketLaunchers/RPG7/RPG7V2/BP_RPG7V2_Tandem,,,,,,2.0,,,,117,20.0,1,250,2,rpg7tandem
RPG-7v2(PG-7VL HEAT),Explosive,semi,900,900,,Explosion_Suppression_90mm_Frag_NoPassby,no,BP_RPG7_Frag_Proj2,RocketLaunchers/RPG7/RPG7V2/BP_RPG7V2_HEAT-PG7VM,,,,,,2.0,,,,117,20.0,1,250,1,rpg7
SL40,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/EF88SL40_UGL/BP_EF88_SL40_UGL_Parent,,,,,,,,,,76,30.0,1,,1,T_sl40_gl
SL40 High Explosive,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/EF88SL40_UGL/BP_EF88_SL40_UGL_HE,,,,,,,,,,76,30.0,1,,1,T_sl40_gl
BP_GenericMachineGun,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_GenericMachineGun,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,880,5.0,100,5,1,m249pip
C9A2,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_C9A2,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,200,5,1,C9A2_Irons
C9A2 + C79A2,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_C9A2_C79A2,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,200,5,1,C9A2
C9A2 CQB + Foregrip,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_C9A2_Foregrip,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,200,5,1,T_c9a2_foregrip_irons
F89 + ET552,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_F89_ET552,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,100,5,1,T_f89_eotech
F89 + Specter,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_F89_Specter,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,970,6.0,100,5,1,T_f89_specter
L110A2,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_L110A2,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,100,5,1,l110a2
L110A2 + SUSAT,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_L110A2_SUSAT,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,100,5,1,l110a2_susat
M16 Wormpool + C-mag,LMG,auto,833,833,,Projectile_Suppression_LMG,yes,BP_Projectile,Rifles/M16_Wormpool/BP_M16_Wormpool_Ironsights_Cmag,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.777,880,3.0,100,5,1,T_M16_Wormpool_Ironsights_CMag_Bipod
M249,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_M249_Classic,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,200,5,1,m249
M249 PIP,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_M249_Pip,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,100,5,1,m249pip
M249 PIP + M145,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_M249_Pip_M145,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,100,5,1,m249pip_elcan
M249 PIP + M68,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_M249_Pip_M68,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,100,5,1,m249pip_aimpoint
M249 PIP + SDO,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_M249_Pip_SDO,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,100,5,1,m249_sdo
Minimi,LMG,auto,857,857,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/BP_Minimi_Classic,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.857,915,6.0,200,5,1,minimi
QJB-201,LMG,auto,800,800,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/QJB-201/BP_QJB201_Parent,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.667,960,4.0,100,7,2,QJB201_Box
QJB-201 + QMK-204,LMG,auto,800,800,,Projectile_Suppression_LMG,yes,BP_Projectile,MachineGuns/QJB-201/BP_QJB201_Optic,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.667,960,4.0,100,7,1,QJB201_Box_Optic
RPD,LMG,auto,750,750,,Projectile_Suppression_LMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_RPD,6.0,0.2,0.16,0.12,0.08,1.25,,7.0,2.5,715,5.0,100,7,1,rpd
HK416 + SDO,LSW,auto,833,833,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_HK416_SDO,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,4.165,915,3.0,,5,1,T_M27_Optic_Bipod
L86A2 LSW,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,Rifles/BP_L86A2LSW,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,940,1.2000000476837158,,5,1,l86a2
L86A2 LSW + SUSAT,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,Rifles/BP_L86A2LSW_SUSAT,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,940,1.2000000476837158,,5,1,l86a2_susat
M27 IAR + Bipod,LSW,auto,833,833,,Projectile_Suppression_LSW,yes,BP_Projectile,Rifles/BP_M27_Bipod,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,4.165,880,3.0,,5,1,T_M27_Bipod
M27 IAR + SDO + Bipod,LSW,auto,833,833,,Projectile_Suppression_LSW,yes,BP_Projectile,Rifles/BP_M27_Optic_Bipod,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,4.165,915,3.0,,5,1,T_M27_Optic_Bipod
QBU-191 LSW,LSW,auto,451,451,,Projectile_Suppression_LSW,yes,BP_Projectile,Rifles/QBU-191/BP_QBU-191_Drum_LSW_Ironsights,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,2.255,940,1.7999999523162842,75,5,1,T_QBU191_Drum
QBU-191 LSW + Holo Sight,LSW,auto,451,451,,Projectile_Suppression_LSW,yes,BP_Projectile,Rifles/QBU-191/BP_QBU-191_Drum_LSW_Holo,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,2.255,940,1.7999999523162842,75,5,1,T_QBU191_Drum_Holo
QBU-191 LSW + QMK-171A,LSW,auto,451,451,,Projectile_Suppression_LSW,yes,BP_Projectile,Rifles/QBU-191/BP_QBU-191_Drum_LSW_Optic_QMK171A,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,2.255,940,1.7999999523162842,75,5,1,T_QBU191_Drum_QMK171A
QJB95-1,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_QJB95-1_LSW,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,940,2.0,75,5,1,T_qjb95-1
QJB95-1 + YMA600,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_QJB95-1_LSW_Optic,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,940,2.0,75,5,1,T_qjb95-1_yma600
RPK,LSW,auto,600,600,,Projectile_Suppression_LSW,yes,BP_Projectile_7_62mm,MachineGuns/BP_RPK,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.0,745,7.0,75,5,2,rpk
RPK + 1P29,LSW,auto,600,600,,Projectile_Suppression_LSW,yes,BP_Projectile_7_62mm,MachineGuns/BP_RPK_1p29,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.0,745,7.0,75,5,1,rpk_1p29
RPK + OKP-7,LSW,auto,600,600,,Projectile_Suppression_LSW,yes,BP_Projectile_7_62mm,MachineGuns/BP_RPK_OKP7,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.0,745,7.0,75,5,1,rpk_okp7
RPK + PSO-1,LSW,auto,600,600,,Projectile_Suppression_LSW,yes,BP_Projectile_7_62mm,MachineGuns/BP_RPK_PSO1,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.0,745,7.0,75,5,1,rpk_pso1
RPK + Yoloson,LSW,auto,600,600,,Projectile_Suppression_LSW,yes,BP_Projectile_7_62mm,MachineGuns/BP_RPK_Yoloson,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.0,745,7.0,75,5,1,rpk_Yoloson
RPK-74,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_RPK74,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,960,6.0,45,5,2,rpk74
RPK-74 + 1P29,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_RPK74_1P29,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,960,6.0,45,5,1,rpk74_1p29
RPK-74 + 1P78,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_RPK74_1P78,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,960,6.0,45,5,1,rpk74_1p78
RPK-74 + OKP-7,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_RPK74_OKP7,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,960,6.0,45,5,2,rpk74_okp7
RPK-74 + TA31,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_RPK74_M150_Pro,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,960,6.0,45,5,1,rpk74_m150
RPK-74M,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_RPK74M,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,960,6.0,45,5,1,rpk74m
RPK-74M + 1P78,LSW,auto,652,652,,Projectile_Suppression_LSW,yes,BP_Projectile,MachineGuns/BP_RPK74M_1P78,5.0,0.3,0.1472,0.0656,0.0328,1.25,1.5,5.0,3.26,960,6.0,45,5,1,rpk74m_1p78
C6,MMG,auto,706,706,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_C6,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.118,853,3.0,75,7,1,mag58
C6A1 FLEX,MMG,auto,706,706,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_C6A1,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.118,853,3.0,75,7,1,C6A1
L7A2,MMG,auto,706,706,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_L7A2,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.118,853,3.0,75,7,1,mag58
M240B,MMG,auto,706,706,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_M240,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.118,853,3.0,75,7,1,m240b
M240B + M145,MMG,auto,706,706,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_M240_M145,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.118,853,3.0,75,7,1,m240b_m145
M240G + MGO,MMG,auto,706,706,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_M240_MGO,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.118,783,3.0,75,7,1,m240g_mgo
MAG 58,MMG,auto,706,706,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_Mag58,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.118,853,3.0,75,7,1,mag58
Maximi + ET552,MMG,auto,698,698,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_Maximi_ET552,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.072,853,6.0,100,7,1,T_MaximiEotech
Maximi + Foregrip,MMG,auto,698,698,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_Maximi,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.072,853,6.0,100,7,1,T_Maximi
Maximi + Specter,MMG,auto,698,698,,Projectile_Suppression_MMG,yes,BP_Projectile_7_62mm,MachineGuns/BP_Maximi_Specter,7.0,0.35,0.2553,0.1607,0.1158,1.75,,6.0,4.072,970,6.0,100,7,1,T_MaximiSpecter
